Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,5.859375,3.362068966,0,0,0,6.964285714,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0.151975682,5.357142849,0.58181817
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,68.90625,11.76724138,0,0,3.080357143,3.75,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0.151975682,5.357142849,0.58181817
Molineaux et al. (1980),Nigeria,Rafin_Marke,9.03,12.48,382,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,9.318817826,10.90336135,0
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,514.5258621,102.8571429,28.25892857,5.357142857,10.98214286,10.98214286,8.571428571,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,9.318817826,10.90336135,0
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,8.21509236,0,16.1038961,1.560322494
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,219.1810345,80.35714286,14.19642857,7.5,11.11607143,10.98214286,8.571428571,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,8.21509236,0,16.1038961,1.560322494
Molineaux et al. (1980),Nigeria,Sungungun,8.97,12.32,389,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0.7640625,0.743073418
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1972,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0.7640625,0.743073418
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AF,EIR from spray (Engorged per person times infection rate),1972,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0.557780312,0.367033144,6.24184401,0.754015213
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1972,11,0,0,0,0,0,0,0,0,0.174168296,0.723422304,9.760099959,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0.557780312,0.367033144,6.24184401,0.754015213
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ungua_Gaiya_Kuwaru,8.89,12.36,395,R,N,AG,EIR from spray (Engorged per person times infection rate),1972,11,0,0,0,0,0,0,0,0,0.174168296,0.723422304,9.760099959,0
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,1.607142857,1.944444444,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0.300936009,12.45623536,1.092809383
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,101.1290323,59.73214286,2.544642857,1.607142857,1.944444444,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0.300936009,12.45623536,1.092809383
Molineaux et al. (1980),Nigeria,Unguwar_Bako,8.99,12.55,388,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,-9,-9,-9,-9
Vercruysse (1985),Senegal,Aere_Lao,-14.32,16.4,13,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1982,5,0,0,0,0,2.331125828,0.21192053,3.602649007,0.254304636,0,0,0,0
Faye et al. (1994),Senegal,Affiniam_Diagobel_Tendimane,-16.24,14.28,12,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1985,1,0,0,0,0,0,0.00912,0.10032,0.41952,0.78888,0.33288,0.01368,-9
Faye et al. (1994),Senegal,Affiniam_Diagobel_Tendimane,-16.24,14.28,12,PU,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1986,1,0,-9,0,-9,0,0,0,4.8336,8.9376,3.8304,0.3192,-9
Lemasson et al. (1997),Senegal,Barkedji,-14.868,15.282,349,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1994,6,0,0,0,7.058823529,31.41176471,13.41176471,7.529411765,0,0,0,0,0
Lemasson et al. (1997),Senegal,Barkedji,-14.868,15.282,349,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1995,6,0,0,1.058823529,46.23529412,30.23529412,1.764705882,1.764705882,0,1.176470588,0,-9,-9
Lemasson et al. (1997),Senegal,Barkedji,-14.868,15.282,349,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1994,6,0,0,0,17.76470588,38.82352941,7.882352941,3.882352941,0,0,0,0,0
Lemasson et al. (1997),Senegal,Barkedji,-14.868,15.282,349,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,6,0,0,6.823529412,5.764705882,3.764705882,0.352941176,0.352941176,0,0.588235294,0,-9,-9
Vercruysse (1985),Senegal,Boke_Dialllobe,-14,16.07,28,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1982,5,0,0,0,0,0.35,0.2,0.25,0,0,0,0,0
Konate 1994,Senegal,Dielmo,-16.42,13.72,32,R,PWB,AF,EIR,1990,4,0,1.6,2.4,3.2,1.6,0.8,1.6,1.2,1.6,3.2,3.2,3.6
Konate 1994,Senegal,Dielmo,-16.42,13.72,32,R,PWB,AF,EIR,1991,4,3.399339934,4.079207921,18.35643564,11.21782178,4.419141914,0,1.359735974,2.379537954,13.93729373,15.6369637,15.2970297,12.91749175
Konate 1994,Senegal,Dielmo,-16.42,13.72,32,R,PWB,AG,EIR,1990,4,5.972375691,7.53038674,8.049723757,21.55248619,11.16574586,18.6961326,8.309392265,4.674033149,3.635359116,2.077348066,1.55801105,0.779005525
Konate 1994,Senegal,Dielmo,-16.42,13.72,32,R,PWB,AG,EIR,1991,4,1.969072165,3.93814433,9.353092784,47.75,48.73453608,51.68814433,13.29123711,5.414948454,2.953608247,1.969072165,1.476804124,2.461340206
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AG,EIR,1992,4,0,0,0,12.728,5.081,7.546,7.546,0.207,2.504,0,0,0
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AG,EIR,1993,4,0,0,0,0,0,2.84,7.574,0,0,0,0,0
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AG,EIR,1994,4,0,0,0,0,1.832,3.653,0.291,2.532,2.196,0,0,0
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AA,EIR,1992,4,0,0,0,5.169,2.64,2.725,5,0,0,2.64,0,0
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AA,EIR,1993,4,0,0,0,5.674,9.972,15.955,17.556,4.916,2.64,0.365,2.725,0
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AA,EIR,1994,4,0,0,0,43.848,3.483,18.315,4.579,4.747,0.365,2.472,0.365,7.781
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AF,EIR,1992,4,10.108,7.595,10.27,35.486,28.27,0,0,20.324,15.541,27.703,20.081,7.676
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AF,EIR,1993,4,2.73,0,2.568,0,0,0,5.324,2.649,0,0,5.243,2.568
Fontenille et al. (997a),Senegal,Dielmo,-16.42,13.72,32,R,PWB,AF,EIR,1994,4,0,0,0,0,1.595,2.405,7.838,3.541,2.811,2.568,25.108,3.216
Robert et al. (1998),Senegal,Diohine,-16.52,14.5,8,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,1,1.034289027,0,0,0,0,0,0.0038307,0.076614002,0.740218949,5.887164059,3.823406961,0.034476301
Faye (1993),Senegal,Diomandou Dieri,-14.43,16.52,10,R,I,AG,EIR,1990,6,0,0.011343284,0.385671642,0.431044776,0.287363184,0.328955224,0.00559602,-9,0.001814925,-9,0,-9
Faye (1993),Senegal,Diomandou Dieri,-14.43,16.52,10,R,I,AG,EIR,1991,6,0.060497512,0,0.007562189,0.015124378,0.016939303,0.011343284,-9,-9,-9,-9,-9,-9
Faye (1993),Senegal,Diomandou Walo,-14.43,16.52,10,R,I,AG,EIR,1990,6,0.007562189,0.003781095,1.105894527,0.404577114,0.421516418,0.529353234,0.052935323,-9,0.266491542,-9,0.079402985,-9
Faye (1993),Senegal,Diomandou Walo,-14.43,16.52,10,R,I,AG,EIR,1991,6,0.187088557,0.00559602,0.224899502,0.034029851,0.084999005,0.130977114,-9,-9,-9,-9,-9,-9
Robert et al. (1998),Senegal,Kotiokh,-16.56,14.49,7,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,1,0.188993168,0.308163806,0.248578487,0.185020814,0.662049215,2.033697323,2.067432692,1.341697345,2.658050672,12.76401519,3.917162237,0.125139051
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1993,1,-9,-9,-9,-9,0,0,0,0,0,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1994,1,0,0,0,0,0,0,0,0,0,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,1,0,0,0,0,0,0,0,0,3.227665706,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,1,0,0,0,0,0,0,0,0,0,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AGSS,EIR from HUMAN BAIT and monthly sporozoites,1993,1,-9,-9,-9,-9,0,0,0,6.455331412,9.798270893,3.342939481,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AGSS,EIR from HUMAN BAIT and monthly sporozoites,1994,1,0,0,0,0,0,0,0,0,3.342939481,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AGSS,EIR from HUMAN BAIT and monthly sporozoites,1995,1,0,0,0,0,0,0,0,1.729106628,8.760806916,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AGSS,EIR from HUMAN BAIT and monthly sporozoites,1996,1,0,0,0,0,0,0,0,0,5.417867435,0,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1993,1,0,0,0,0,0,0,1.152737752,2.997118156,28.58789625,10.7204611,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1994,1,0,0,0,0,0,0,0,7.146974063,4.956772334,1.268011527,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1995,1,0,0,0,0,0,0,0,3.342939481,17.52161383,1.844380403,0,0
Fontenille et al. (1997a),Senegal,Ndiop,-16.36,15.95,6,R,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1996,1,0,0,0,0,0,0,0,0,1.613832853,0,0,0
Robert et al. (1998),Senegal,Ngayokheme,-16.43,14.53,11,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,1,0,0,0,0,0,0,0.032378653,0.789995647,1.823508876,3.924597165,1.355118122,0.874401537
Vercruysse et al. (1983),Senegal,Pikine,-17.4,14.75,10,U,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1979,10,17.2125,6.109588235,8.647714286,3.327333333,1.243125,0,0,0,1.110111111,0,0,3.447
Vercruysse et al. (1983),Senegal,Pikine,-17.4,14.75,10,U,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1980,10,6.05,3.87,6.644,-9,-9,-9,-9,-9,-9,-9,-9,-9
Faye et al. (1994),Senegal,Takeme_and_Ousseuk,-16.24,14.28,21,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1985,1,0,0,0,0,0,0,0.007652045,0.198953165,0.55859927,0.030608179,0.01530409,-9
Faye et al. (1994),Senegal,Takeme_and_Ousseuk,-16.24,14.28,21,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1986,1,0,-9,0,-9,0,0,0.06992,1.81792,5.10416,0.27968,0.13984,-9
Faye (1993),Senegal,Toulde_Galle,-14.48,16.53,11,R,N,AG,EIR,1990,6,0,0.001814925,0.00559602,0.196616915,0,0.00559602,0,-9,0,-9,0,-9
Faye (1993),Senegal,Toulde_Galle,-14.48,16.53,11,R,N,AG,EIR,1991,6,0.043406965,0,0,0.00559602,0.00559602,0.003781095,-9,-9,-9,-9,-9,-9
Faye et al. (1994),Senegal,Wassadou,-14.158,12.747,26,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1992,9,57.285,18.732,23.616,2.982,13.665,-9,0,0,-9,0,19.839,131.358
Faye et al. (1994),Senegal,Wassadou,-14.158,12.747,26,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1993,9,-9,15.3,6.3,-9,-9,-9,-9,-9,-9,-9,-9,-9
Faye et al. (1994),Senegal,Wassadou,-14.158,12.747,26,R,PWB,AG,EIR from spray (mosquitoes per house times infection rate),1992,9,12.24,18.732,3.366,2.982,3.993,-9,0,0,-9,0,19.839,46.854
Faye et al. (1994),Senegal,Wassadou,-14.158,12.747,26,R,PWB,AG,EIR from spray (mosquitoes per house times infection rate),1993,9,-9,9.504,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bockarie et al. (1995),Sierra_Leone,Bayama,-11.67,8,102,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1990,11,59.1,34.8,14.1,74.1,43.8,30,106.2,110.4,160.2,48.9,141.9,48.6
Bockarie et al. (1994),Sierra_Leone,Mendewa,-11.48,8.17,325,R,N,AG,EIR,1990,1,0,0,0,0,1.019852941,5.303235294,6.323088235,1.223823529,0,0,0,0
Bockarie et al. (1994),Sierra_Leone,Nyandeyama,-11.62,8.12,118,R,N,AG,EIR,1990,1,0,0,0,0,1.004255319,4.770212766,19.58297872,9.540425532,0.50212766,0,0,0
Bodker et al. (2003),Tanzania,Bagamoyo,38.264,-5.04,1000,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.001271943,0.002800955,0.002985173,0.184749206,0.098410651,0.216961876,0.253989863,0.332333682,0.73130432,0.002977586,0.0019625,0.001620863
Bodker et al. (2003),Tanzania,Bagamoyo,38.264,-5.04,1000,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.000,0.000,0.000,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Bagamoyo,38.264,-5.04,1000,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.0020,0.0002,0.0000,0.0005,0.0000,0.0000,0.0000,0.0876,0.0352,0.0135,0.0006,0.0016
Bodker et al. (2003),Tanzania,Bagamoyo,38.264,-5.04,1000,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.000,0.001,0.000,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Balangai,38.277,-4.556,1400,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0,0,0,0,0,0,0,0,0,0.00014449,0.00014785,0.000139829
Bodker et al. (2003),Tanzania,Balangai,38.277,-4.556,1400,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Balangai,38.277,-4.556,1400,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.00001,0.00029,0.00436,0.00266,0.00170,0.00046,0.00028,0.01704,0.00103,0.00000,0.00042,0.00041
Bodker et al. (2003),Tanzania,Balangai,38.277,-4.556,1400,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.00048,0.00001,0.00001,-9,-9,-9,-9,-9,-9,-9,-9,-9
Shiff et al. (1995),Tanzania,Chasimba,38.82,-6.58,36,R,N,AF,EIR,1992,1,0,0,0,0,5.500318946,8.400321726,9.338409859,0,2.121264237,0,0,3.239685231
Shiff et al. (1995),Tanzania,Chasimba,38.82,-6.58,36,R,N,AG,EIR,1992,1,0,0.882643204,0,1.212596237,115.0079098,35.89058886,26.12459397,0.882643204,0.882643204,0,0.882643204,7.333738353
Ijumba et al. (2002),Tanzania,Chekereni,37.36,-3.38,763,PU,I,AA,EIR from HUMAN BAIT and monthly sporozoites,1994,7,10.62784,9.2416,1.663488,0.46208,0.831744,0.739328,1.108992,0.739328,6.9312,3.511808,1.108992,0.92416
Charlwood et al. (1998),Tanzania,Idete,36.417,-8.663,295,R,PWB,AF,EIR,1992,7,30.21456,6.58616,3.50968,2.888,4.08652,7.47688,8.07728,8.5804,2.92448,5.57384,14.30168,5.45224
Charlwood et al. (1998),Tanzania,Idete,36.417,-8.663,295,R,PWB,AF,EIR,1993,7,1.95472,14.972,16.72608,8.37368,4.10248,8.66248,9.48784,8.72936,5.55104,5.8976,3.69208,21.14168
Charlwood et al. (1998),Tanzania,Idete,36.417,-8.663,295,R,PWB,AG,EIR,1992,7,0.6308,0.16872,0.42408,0.22952,0.63156,1.12328,1.08832,2.71472,1.0108,6.46608,18.45432,3.15552
Charlwood et al. (1998),Tanzania,Idete,36.417,-8.663,295,R,PWB,AG,EIR,1993,7,0.6536,0.51072,0.21432,0.26904,0.56088,3.3212,3.43976,3.09016,11.10056,61.1876,12.16456,2.3864
Shiff et al. (1995),Tanzania,Kerege,39.054,-6.587,36,R,PWB,AF,EIR,1992,1,0,0,0,0,4.967876403,6.479707439,5.930534809,8.451620993,4.546835519,0.923424837,0,0
Shiff et al. (1995),Tanzania,Kerege,39.054,-6.587,36,R,PWB,AG,EIR,1992,1,1.473326131,2.294069569,4.659066311,20.99641004,55.61884535,112.9572931,35.72023244,4.659066311,0,0,0,1.921690783
Ijumba et al. (2002),Tanzania,Kisangasangeni,37.39,-3.39,759,PU,N,AA,EIR from HUMAN BAIT and monthly sporozoites,1994,7,7.762944,16.63488,3.326976,0,2.217984,0,3.326976,3.326976,2.217984,11.08992,421.41696,27.7248
Shiff et al. (1995),Tanzania,Kongo,38.83,-6.53,19,R,PWB,AF,EIR,1992,1,0,0.577679784,0.963627959,0,18.26783877,5.776797843,30.47259166,9.636279585,3.935686555,5.776797843,8.479179643,26.81352036
Shiff et al. (1995),Tanzania,Kongo,38.83,-6.53,19,R,PWB,AG,EIR,1992,1,11.52868343,6.911264144,41.43194004,28.22725216,78.54400589,60.81377125,101.4434845,8.92624089,6.911264144,10.14434845,21.85533621,89.2624089
Bodker et al. (2003),Tanzania,Kwameta,38.291,-5.066,300,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.491912965,0.195564344,0.084201316,0.008088174,0.00404965,0.000867782,0.000101662,0.003450595,1.775643215,2.444505247,0.850412397,1.479031124
Bodker et al. (2003),Tanzania,Kwameta,38.291,-5.066,300,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,10,1.113857369,0.369632262,0.127594853,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Kwameta,38.291,-5.066,300,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,10,2.988247404,4.126950854,1.034279639,0.813286362,0.358644999,0.549232353,6.271384624,21.87420278,22.56510731,14.52551983,6.31261723,3.102186337
Bodker et al. (2003),Tanzania,Kwameta,38.291,-5.066,300,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,10,2.380153092,2.264742776,0.016965452,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Kwamhanya,38.276,-5.035,800,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.165235294,0.022315393,0.016887502,0.010075486,0.001529872,0.002965944,0.008085844,0.010561838,0.011166235,0.0137475,0.013037952,0.016831747
Bodker et al. (2003),Tanzania,Kwamhanya,38.276,-5.035,800,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.003982258,0.004589802,0.017439543,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Kwamhanya,38.276,-5.035,800,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.003538885,0.003369687,0.002977245,0.001950506,0.001322856,0.001403756,0.005258443,0.542570383,0.303118992,0.485828914,0.133011669,0.126501123
Bodker et al. (2003),Tanzania,Kwamhanya,38.276,-5.035,800,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.002464218,0.0009846,0.000951991,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Magundi,38.283,-5.053,600,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.000842667,0.022361446,0.021332792,0.014489529,0.00963515,0.003009144,0.004944876,0.053243921,0.367191727,0.073828299,0.033042643,0.00225639
Bodker et al. (2003),Tanzania,Magundi,38.283,-5.053,600,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.00992616,0.012694308,0.000393862,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bodker et al. (2003),Tanzania,Magundi,38.283,-5.053,600,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,10,0.000427571,0.000413778,0.000213786,0.000410804,0.000742097,0.000821607,0.007654323,3.601859033,3.398100942,0.906412467,0.139448057,0.067474866
Bodker et al. (2003),Tanzania,Magundi,38.283,-5.053,600,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,10,0.00,0.00,0.00,-9,-9,-9,-9,-9,-9,-9,-9,-9
Shiff et al. (1995),Tanzania,Mapinga,39.07,-6.6,59,R,N,AF,EIR,1992,1,0,0,0,0,3.032978714,8.778247548,8.034267462,14.93403121,3.313835154,1.250990402,0.877824755,0.877824755
Shiff et al. (1995),Tanzania,Mapinga,39.07,-6.6,59,R,N,AG,EIR,1992,1,0,0,0,3.608874688,73.29327196,80.08029206,27.66860013,5.619264754,2.317736766,0,0.955979821,0.955979821
Shiff et al. (1995),Tanzania,Matimbwa,38.87,-6.5,21,R,PWB,AF,EIR,1992,1,0,0,0,0.66497084,0,6.649708398,23.8978129,12.60608929,18.50320863,2.38978129,0,8.588428654
Shiff et al. (1995),Tanzania,Matimbwa,38.87,-6.5,21,R,PWB,AG,EIR,1992,1,2.945865088,2.592133101,20.06994521,38.04731068,136.734945,334.7868639,43.23938619,9.315643358,9.315643358,2.006994521,4.323938619,25.92133101
Lyimo (1993),Tanzania,Michenga,36.63,-8.12,258,R,N,AG,EIR,1990,1,57.01754386,12.80701754,8.070175439,56.66666667,77.89473684,49.47368421,23.15789474,12.10526316,10.87719298,17.36842105,4.912280702,1.754385965
